"Identity","Native.range","Invaded.range","Impact","n_pp","inv","aus","haz_sc_of5"
"Achaea catella Guenée","Afrotropic","-","Negligible",140,"true","false",3
"Acyphas semiochrea (Herrich-Schaeffer)","South Western Pacific","-","Negligible",431,"true","true",3
"Adelium abbreviatum Boisduval","South Western Pacific","-","Negligible",667,"false","true",3
"Agrotis radians (Guenée)","South Western Pacific","-","Low-medium",58,"false","true",3
"Agrotis segetum (Denis & Schiffermüller, 1775)","Eastern Palearctic","Eastern Palearctic, Afrotropic","Negligible",6168,"true","false",3
"Agrypnus pictipennis (Candeze)","South Western Pacific","-","Negligible",37,"false","true",3
"Anisandrus dispar (Fabricius)","Western Palearctic","Nearctic","Negligible",4509,"true","false",3
"Araecerus bicristatus Blackburn","South Western Pacific","-","Negligible",3,"false","true",3
"Arhopalus rusticus (L.)","Nearctic, Western Palearctic, Eastern Palearctic","South Western Pacific, Neotropic","Low-medium",7881,"true","true",5
"Ariathisa abyssinia (Guenée, 1852)","Afrotropic","-","Negligible",36,"true","false",3
"Austracris guttulosa (Walker)","South Western Pacific, Eastern Palearctic","-","Low-medium",262,"true","true",4
"Bracharoa mixta (Snellen)","Afrotropic","-","Low-medium",3,"true","false",3
"Ceroplastes rubens Maskell","Unknown (???? Afrotropic, Western Palearctic, Neotropic)","Cosmopolitan (but not in NZ),  (???? Eastern Palearctic, Nearctic, South Western Pacific,â€¦)","Negligible",75,"true","true",5
"Cinara atlantica (Wilson)","Nearctic","Eastern Palearctic, Neotropic","Negligible",119,"true","false",3
"Cinara pinivora (Wilson)","Nearctic","Afrotropic, Neotropic","Negligible",79,"true","false",3
"Clania ignobilis (Walker)","South Western Pacific","-","Negligible",323,"true","true",3
"Conophthorus radiatae Hopkins","Nearctic","-","High",2,"false","false",1
"Coptotermes lacteus (Froggatt)","South Western Pacific","-","Negligible",111,"false","true",3
"Dioryctria sylvestrella (Ratzeburg)","Western Palearctic, Eastern Palearctic","-","High",1192,"true","false",2
"Ectropis excursaria (Guenée)","South Western Pacific","-","Low-medium",764,"false","true",3
"Epiphyas caryotis (Meyrick)","South Western Pacific","-","Low-medium",45,"false","true",3
"Epiphyas xylodes (Meyrick)","South Western Pacific","-","Low-medium",46,"false","true",3
"Ernobius punctulatus (LeConte)","Nearctic","-","High",25,"false","false",2
"Eulachnus agilis (Kaltenbach)","Western Palearctic","Nearctic, Neotropic","Negligible",197,"true","false",3
"Eulachnus rileyi (Williams)","Western Palearctic, Nearctic","Afrotropic, Eastern Palearctic, Western Palearctic, Neotropic","Negligible",309,"true","false",3
"Henoticus serratus (Gyllenhal)","Nearctic","Western Palearctic, Eastern Palearctic, Nearctic","Negligible",1151,"true","false",3
"Hyalarcta huebneri (Westwood)","South Western Pacific","-","High",130,"false","true",2
"Hylastes angustatus (Herbst)","Western Palearctic","Afrotropic","High",491,"false","false",2
"Hylastes attenuatus (Erichson)","Western Palearctic","Western Palearctic","Low-medium",1601,"true","false",3
"Hylastes gracilis LeConte","Nearctic, Neotropic","-","Negligible",433,"true","false",3
"Hylastes opacus Erichson","Western Palearctic","Nearctic","Low-medium",435,"true","false",3
"Hylobius abietis (Linnaeus)","Western Palearctic, Eastern Palearctic","-","High",8857,"false","false",1
"Hylotrupes bajulus (Linnaeus)","Western Palearctic","Afrotropic, Nearctic, Neotropic, South Western Pacific","Negligible",4060,"true","true",3
"Hypothenemus eruditus Westwood","Unknown (???? Neotropic? / cosmopolitan in all tropical areas, native region not clear)","Cosmopolitan (but not in NZ) (Nearctic, South Western Pacific, Neotropic, Afrotropic, Western Palearctic)","Negligible",207,"true","true",3
"Ips grandicollis (Eichhoff)","Nearctic","South Western Pacific, Eastern Palearctic","High",635,"true","true",3
"Ips mexicanus (Hopkins)","Nearctic, Neotropic","-","High",89,"false","false",1
"Ips paraconfusus Lanier","Nearctic","-","High",19,"false","false",1
"Ips plastographus maritimus (Lanier)","Nearctic","-","High",33,"false","false",1
"Ips sexdentatus (Boerner)","Western Palearctic","-","High",3448,"true","false",2
"Lamprima aurata Latrielle","South Western Pacific","-","Negligible",1793,"true","true",3
"Lepidoscia arctiella (Walker)","South Western Pacific","-","Negligible",83,"false","true",3
"Lepidoscia punctiferella (Walker)","South Western Pacific","-","Negligible",7,"false","true",3
"Leptoglossus occidentalis Heidemann","Nearctic","Afrotropic, Eastern Palearctic, Western Palearctic, Neotropic","Low-medium",8902,"true","false",3
"Leptopius gladiator (Lea)","South Western Pacific","-","Negligible",14,"false","true",3
"Lymantria dispar (Linnaeus)","Western Palearctic, Eastern Palearctic","Nearctic","High",9097,"true","false",3
"Lymantria monacha (Linnaeus)","Western Palearctic, Eastern Palearctic","-","High",7101,"true","true",3
"Metura elongatus (Saunders)","South Western Pacific","-","Low-medium",927,"true","true",3
"Monochamus alternatus Hope","Eastern Palearctic","Eastern Palearctic","Low-medium",78,"true","false",3
"Monochamus galloprovincialis (Olivier)","Western Palearctic","-","High",2671,"false","false",2
"Neodiprion sertifer (Geoffroy)","Western Palearctic, Eastern Palearctic","Nearctic","High",800,"true","false",2
"Nysius vinitor Bergroth","South Western Pacific","-","Low-medium",1027,"true","true",5
"Ophiusa tirhaca (Cramer)","Afrotropic, Eastern Palearctic, Western Palearctic","South Western Pacific","Negligible",788,"true","true",3
"Orgyia antiqua (Linnaeus)","Western Palearctic","Nearctic, Neotropic","Negligible",8752,"true","false",4
"Orgyia australis Walker","South Western Pacific","-","Low-medium",383,"true","true",4
"Ormiscodes cinnamomea (Feisthamel)","Neotropic","-","High",153,"false","false",1
"Orthotomicus erosus (Wollaston)","Western Palearctic, Eastern Palearctic","Neotropic, Afrotropic, Nearctic","High",827,"true","false",2
"Otiorhynchus cribricollis Gyllenhal","Western Palearctic","Nearctic, South Western Pacific","Negligible",332,"true","true",4
"Peltoschema hamadryas (Stål)","South Western Pacific","-","Negligible",260,"false","true",3
"Phaulacridium vittatum (Sjöstedt)","South Western Pacific","-","Low-medium",1250,"false","true",3
"Pineus strobi (Hartig)","Western Palearctic, Nearctic","-","Negligible",197,"true","false",3
"Pissodes castaneus (De Geer)","Western Palearctic","Neotropic","High",1855,"true","false",2
"Pissodes nemorensis Germar","Nearctic","Afrotropic","High",17,"false","false",1
"Pityophthorus carmeli Swaine","Nearctic","-","High",7,"false","false",1
"Pityophthorus setosus Blackman","Nearctic","-","High",4,"false","false",1
"Platypus semigranosus (Sampson)","South Western Pacific","-","Negligible",1,"false","true",3
"Proteuxoa hypochalchis (Turner)","South Western Pacific","-","Negligible",764,"false","true",3
